Title,Date,Duration
Avatar,2009-12-10,162
Pirates of the Caribbean: At World's End,2007-05-19,169
Spectre,2015-10-26,148
The Dark Knight Rises,2012-07-16,165
John Carter,2012-03-07,132
Spider-Man 3,2007-05-01,139
Tangled,2010-11-24,100
Avengers: Age of Ultron,2015-04-22,141
Harry Potter and the Half-Blood Prince,2009-07-07,153
Batman v Superman: Dawn of Justice,2016-03-23,151
Quantum of Solace,2008-10-30,106
Pirates of the Caribbean: Dead Man's Chest,2006-06-20,151
The Lone Ranger,2013-07-03,149
Man of Steel,2013-06-12,143
The Avengers,2012-04-25,143
Pirates of the Caribbean: On Stranger Tides,2011-05-14,136
Men in Black 3,2012-05-23,106
The Hobbit: The Battle of the Five Armies,2014-12-10,144
The Amazing Spider-Man,2012-06-27,136
Robin Hood,2010-05-12,140
The Hobbit: The Desolation of Smaug,2013-12-11,161
The Golden Compass,2007-12-04,113
Titanic,1997-11-18,194
Captain America: Civil War,2016-04-27,147
Jurassic World,2015-06-09,124
Skyfall,2012-10-25,143
Spider-Man 2,2004-06-25,127
Iron Man 3,2013-04-18,130
Alice in Wonderland,2010-03-03,108
Transformers: Revenge of the Fallen,2009-06-19,150
Transformers: Age of Extinction,2014-06-25,165
Oz: The Great and Powerful,2013-03-07,130
The Amazing Spider-Man 2,2014-04-16,142
TRON: Legacy,2010-12-10,125
Cars 2,2011-06-11,106
Green Lantern,2011-06-16,114
Toy Story 3,2010-06-16,103
Terminator Salvation,2009-05-20,115
Furious 7,2015-04-01,137
World War Z,2013-06-20,116
X-Men: Days of Future Past,2014-05-15,131
Jack the Giant Slayer,2013-02-27,114
Prince of Persia: The Sands of Time,2010-05-19,116
Pacific Rim,2013-07-11,131
Transformers: Dark of the Moon,2011-06-28,154
Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,122
The Good Dinosaur,2015-11-14,93
Brave,2012-06-21,93
WALL·E,2008-06-22,98
2012,2009-10-10,158
A Christmas Carol,2009-11-04,96
Jupiter Ascending,2015-02-04,124
The Legend of Tarzan,2016-06-29,109
X-Men: Apocalypse,2016-05-18,144
The Dark Knight,2008-07-16,152
Monsters vs Aliens,2009-03-19,94
Iron Man,2008-04-30,126
Hugo,2011-11-22,126
The Mummy: Tomb of the Dragon Emperor,2008-07-01,112
Suicide Squad,2016-08-02,123
Evan Almighty,2007-06-09,96
Edge of Tomorrow,2014-05-27,113
G.I. Joe: The Rise of Cobra,2009-08-04,118
Inside Out,2015-06-09,94
Iron Man 2,2010-04-28,124
Snow White and the Huntsman,2012-05-30,127
Maleficent,2014-05-28,97
Dawn of the Planet of the Apes,2014-06-26,130
Captain America: The Winter Soldier,2014-03-20,136
Shrek Forever After,2010-05-16,93
Tomorrowland,2015-05-19,130
Big Hero 6,2014-10-24,102
Wreck-It Ralph,2012-11-01,108
Independence Day: Resurgence,2016-06-22,120
How to Train Your Dragon,2010-03-05,98
Guardians of the Galaxy,2014-07-30,121
Interstellar,2014-11-05,169
Inception,2010-07-14,148
The Hobbit: An Unexpected Journey,2012-11-26,169
The Curious Case of Benjamin Button,2008-11-24,166
X-Men: First Class,2011-05-24,132
The Hunger Games: Mockingjay - Part 2,2015-11-18,137
The Sorcerer's Apprentice,2010-07-13,109
Poseidon,2006-05-12,99
Alice Through the Looking Glass,2016-05-25,113
Shrek the Third,2007-05-17,93
Warcraft,2016-05-25,123
Terminator Genisys,2015-06-23,126
Transformers,2007-06-27,144
Harry Potter and the Order of the Phoenix,2007-06-28,138
Harry Potter and the Goblet of Fire,2005-11-05,157
Hancock,2008-07-01,92
I Am Legend,2007-12-14,101
Charlie and the Chocolate Factory,2005-07-13,115
Ratatouille,2007-06-22,111
Batman Begins,2005-06-10,140
Madagascar: Escape 2 Africa,2008-10-30,89
Night at the Museum: Battle of the Smithsonian,2009-05-20,105
X-Men Origins: Wolverine,2009-04-28,107
Frozen,2013-11-27,102
Thor: The Dark World,2013-10-29,112
Mad Max: Fury Road,2015-05-13,120
Thor,2011-04-21,115
Bolt,2008-11-21,98
G-Force,2009-07-21,88
Wrath of the Titans,2012-03-27,99
Dark Shadows,2012-05-08,113
Mission: Impossible - Rogue Nation,2015-07-23,131
The Wolfman,2010-02-11,102
Bee Movie,2007-10-28,91
Kung Fu Panda 2,2011-05-25,91
The Last Airbender,2010-06-30,103
Mission: Impossible III,2006-05-03,126
Mars Needs Moms,2011-03-09,88
Flushed Away,2006-10-22,85
Die Another Day,2002-11-17,133
Ghostbusters,2016-07-14,116
Men in Black II,2002-07-03,88
Beowulf,2007-11-05,115
Kung Fu Panda 3,2016-01-23,95
Mission: Impossible - Ghost Protocol,2011-12-07,133
Rise of the Guardians,2012-11-21,97
Fun with Dick and Jane,2005-12-21,90
Exodus: Gods and Kings,2014-12-03,150
Spider-Man,2002-05-01,121
How to Train Your Dragon 2,2014-06-12,102
Watchmen,2009-03-05,163
Captain America: The First Avenger,2011-07-22,124
The World Is Not Enough,1999-11-08,128
Master and Commander: The Far Side of the World,2003-11-14,138
Happy Feet Two,2011-11-17,100
The BFG,2016-06-01,120
The Revenant,2015-12-25,156
Turbo,2013-07-11,96
Rango,2011-03-02,107
The Bourne Ultimatum,2007-08-03,115
Kung Fu Panda,2008-06-04,90
Ant-Man,2015-07-14,117
The Hunger Games: Catching Fire,2013-11-15,146
Home,2015-03-18,94
Salt,2010-07-21,100
Noah,2014-03-20,139
The Adventures of Tintin,2011-10-25,107
Megamind,2010-10-28,95
Harry Potter and the Philosopher's Stone,2001-11-16,152
R.I.P.D.,2013-07-18,96
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,143
The Hunger Games: Mockingjay - Part 1,2014-11-18,123
The Da Vinci Code,2006-05-17,149
Rio 2,2014-03-19,102
Fast Five,2011-04-20,130
Sherlock Holmes: A Game of Shadows,2011-11-22,129
Clash of the Titans,2010-04-01,106
The Bourne Legacy,2012-08-08,120
How the Grinch Stole Christmas,2000-11-17,104
The Day After Tomorrow,2004-05-26,124
Mission: Impossible II,2000-05-24,123
Life of Pi,2012-11-20,127
Ghost Rider,2007-02-16,114
Jason Bourne,2016-07-27,123
Prometheus,2012-05-30,124
RoboCop,2014-01-30,102
Speed Racer,2008-05-09,135
How Do You Know,2010-12-17,121
Knight and Day,2010-06-15,109
Oblivion,2013-04-10,124
Star Wars: Episode III - Revenge of the Sith,2005-05-17,140
Star Wars: Episode II - Attack of the Clones,2002-05-15,142
"Monsters, Inc.",2001-11-01,92
The Wolverine,2013-07-23,126
Star Wars: Episode I - The Phantom Menace,1999-05-19,136
